,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
2066,4736.0,8,5.0,0,1,1,1,0,1.0,1.0,2.6872763456150275
2067,1821.0,2,4.86,0,1,0,0,0,1.0,1.0,1.7658569747553265
2068,2182.0,2,5.0,0,1,1,0,1,1.0,0.5,2.846726386117655
2070,2786.0,2,4.69,1,1,1,1,0,1.0,1.0,2.3924011070092925
2071,1678.0,4,4.74,1,1,1,1,0,1.0,1.0,1.4335411964523035
2072,1000.0,2,4.88,1,1,1,1,1,1.0,1.0,2.8174083816089377
2073,4764.0,3,5.0,1,1,1,0,0,1.0,1.0,1.943735703930059
2074,1480.0,2,4.85,1,1,1,0,0,1.0,1.0,3.14144011232294
2076,750.0,2,4.86,0,1,0,0,0,1.0,1.0,3.2804496427092897
2077,1272.0,2,4.78,0,1,1,1,0,1.0,1.0,5.137137279419314
2079,2500.0,4,4.97,0,1,1,0,0,1.5,1.0,0.4166642585591419
2080,1447.0,2,4.59,1,1,1,0,0,1.0,1.0,1.7815723036127142
2083,3871.0,7,4.93,0,1,1,0,0,1.5,1.0,1.8242461160185495
2085,4904.0,4,4.91,0,1,1,1,0,2.0,1.0,0.2174649443891379
2086,5338.0,8,4.71,0,1,1,1,0,2.0,1.0,1.5575692520886524
2087,1900.0,2,4.93,1,1,0,1,0,1.0,1.0,1.1254612206663885
2088,634.0,1,4.55,0,1,1,1,1,1.5,0.91,3.4740005438589674
2089,1058.0,2,4.59,0,1,1,1,1,1.5,0.91,3.4634118288376023
2090,841.0,2,4.49,0,1,1,1,1,1.5,0.91,3.4634118288376023
2091,743.0,1,4.53,0,1,1,1,1,1.5,0.91,3.4634118288376023
2093,781.0,1,4.52,0,1,1,1,1,1.5,0.91,3.4634118288376023
2094,6857.0,6,4.95,1,1,0,0,0,2.5,1.0,1.1254612206663885
2095,2929.0,3,4.84,1,1,1,1,0,1.0,1.0,3.6504679059360097
2096,1200.0,2,4.85,0,1,1,0,1,1.5,0.0,2.0858747710389633
2098,4586.0,5,4.95,1,1,1,1,0,1.5,1.0,1.5838661706664
2099,2650.0,2,4.6,0,1,0,0,1,1.5,1.0,0.9914751065726879
2101,2029.0,4,4.66,1,1,1,0,0,1.5,1.0,3.9535277732169862
2102,2855.0,4,4.91,0,1,1,1,0,1.5,1.0,1.5385103484929195
2104,4214.0,2,4.91,0,1,1,0,0,1.0,1.0,1.5960616266806777
2105,1314.0,2,4.81,1,1,1,1,0,1.0,1.0,1.4501372913694615
2106,1650.0,2,4.69,0,1,1,0,0,1.5,1.0,1.8837929700085665
2108,1107.0,4,4.85,1,1,1,1,0,1.0,1.0,5.297690533507008
2109,2429.0,4,4.94,1,1,1,0,0,1.0,1.0,2.5786310906192673
2110,5072.0,8,4.99,0,1,1,1,0,3.0,1.0,2.142526473556782
2111,572.0,1,4.62,0,1,1,1,1,12.0,1.0,1.3978329742387003
2112,1789.0,2,5.0,1,1,1,0,0,1.0,1.0,1.7971442512028013
2113,1757.0,3,4.66,1,1,1,1,0,1.0,1.0,11.11427552869965
2115,529.0,2,4.5,1,1,1,0,1,2.5,0.98,4.090205780216867
2116,2452.0,4,4.93,0,1,1,0,0,1.5,0.5,2.9444604056191306
2119,1999.0,3,4.95,1,1,1,0,0,1.0,1.0,1.0602181267255129
2120,1207.0,2,4.77,0,1,1,0,1,1.5,1.0,7.606846841344004
2121,3243.0,4,4.85,1,1,1,0,0,1.5,0.9,2.677116074072204
2122,1500.0,2,4.5,1,1,1,1,1,1.5,1.0,9.41203060527706
2123,3184.0,3,4.98,1,1,1,1,0,1.0,1.0,1.553374144119466
2128,1422.0,2,4.71,1,1,1,0,0,1.5,1.0,1.429216493835094
2132,1629.0,3,4.78,0,1,1,1,0,1.0,1.0,6.983445905492777
2134,5385.0,9,4.92,0,1,1,1,0,1.0,1.0,1.6235783756462758
2135,4887.0,6,4.97,1,1,1,0,0,1.5,0.9,1.69496192109005
2136,4131.0,6,4.88,1,1,1,1,0,1.5,1.0,0.9852876497898342
2137,2500.0,4,4.78,1,1,1,1,0,1.0,1.0,5.433052050043332
2138,6541.0,4,4.89,1,1,1,0,0,1.0,1.0,2.807359501418226
2142,560.0,1,5.0,0,1,1,0,1,1.0,1.0,2.266228396348105
2143,845.0,4,4.9,0,1,1,0,0,1.0,1.0,4.430012842946717
2144,2946.0,9,4.75,0,1,1,1,0,1.0,1.0,1.6972159831787725
2145,2946.0,7,4.81,0,1,1,1,0,1.0,1.0,1.7100001714777546
2146,2946.0,7,4.92,0,1,1,1,0,1.0,1.0,1.5626864209945794
2147,1793.0,2,4.87,1,1,1,1,0,1.0,1.0,0.8607478743605638
2148,2207.0,3,4.83,1,1,1,1,0,1.0,1.0,0.8807125019177543
2149,2946.0,7,4.75,0,1,1,1,0,1.0,1.0,1.7254023937553309
2153,1874.0,2,4.85,1,1,1,1,0,1.0,1.0,0.8650851746913489
2155,2556.0,4,4.95,1,1,1,1,0,1.0,1.0,0.9810847991738914
2157,683.0,2,4.83,0,1,0,0,1,1.0,1.0,4.1109556896333475
2158,1720.0,2,4.84,1,1,1,1,0,1.0,1.0,0.8650851746913489
2159,1414.0,4,4.93,1,1,1,1,0,1.0,1.0,0.4520830529120808
2160,1349.0,2,4.86,0,1,0,0,0,1.0,1.0,1.960860169801891
2161,1779.0,2,4.85,1,1,1,1,0,1.0,1.0,0.8650851746913489
2163,2867.0,4,4.69,0,1,1,0,0,1.0,1.0,4.88658718670153
2164,3579.0,6,4.96,1,1,1,1,0,2.0,1.0,1.0092937205360923
2165,6515.0,4,4.97,1,1,1,1,0,1.5,1.0,1.970797115365525
2166,2016.0,2,4.89,1,1,1,0,0,1.5,0.99,1.892277889664667
2167,1700.0,2,4.59,0,1,1,1,0,1.5,1.0,1.7985322464194067
2168,2547.0,6,4.44,0,1,1,1,0,1.0,1.0,1.4281097018259985
2169,5000.0,4,4.86,0,1,0,0,0,1.0,1.0,4.635847019528235
2171,1529.0,2,4.84,1,1,1,0,0,1.0,1.0,0.7615807007875893
2175,2347.0,2,4.88,1,1,1,1,0,1.0,1.0,2.145563998158167
2176,1812.0,2,4.56,0,1,1,0,0,1.0,1.0,1.7205515622045782
2177,2155.0,2,4.6,0,1,1,1,0,1.0,0.98,1.26220116492584
2179,2279.0,4,4.69,0,1,1,1,0,1.0,0.98,1.26220116492584
2180,3872.0,8,4.51,0,1,1,1,0,1.5,0.98,1.26220116492584
2181,3136.0,6,4.75,0,1,1,1,0,1.5,0.98,1.26220116492584
2182,2740.0,5,4.51,0,1,1,1,0,1.0,0.98,1.26220116492584
2184,1664.0,4,4.88,0,1,1,1,0,1.0,1.0,0.8051709748340992
2186,2500.0,3,4.97,0,1,1,0,0,1.0,0.0,1.7039629478563423
2187,2484.0,2,5.0,1,1,1,1,0,1.0,1.0,2.81938996648214
2188,3071.0,7,4.95,1,1,1,1,0,1.0,1.0,2.253701645680424
2191,1564.0,2,4.68,1,1,1,1,0,1.0,1.0,3.128372835912762
2192,3163.0,6,4.88,0,1,1,0,0,1.0,1.0,1.2051887339148926
2193,5149.0,6,4.9,0,1,1,1,0,1.5,1.0,1.1303794765841573
2195,1750.0,2,4.7,1,1,1,1,0,1.0,1.0,2.563837184468637
2196,4291.0,4,4.98,1,1,1,0,0,1.0,1.0,2.869892983320611
2198,3575.0,4,4.97,1,1,1,0,0,1.5,1.0,2.880281581347835
2199,1716.0,3,5.0,0,1,0,0,0,1.0,1.0,1.905466624359557
2202,3468.0,6,4.68,1,1,1,1,0,1.5,1.0,6.812860916649741
2203,1180.0,2,5.0,1,1,1,0,0,1.5,1.0,4.261720020938992
2204,1750.0,2,4.66,1,1,1,1,0,1.0,1.0,2.4026694121157894
2205,1958.0,3,4.92,0,1,1,1,0,1.0,1.0,1.0186546917799832
2206,1667.0,2,4.65,0,1,0,0,1,1.5,1.0,1.02771263425885
2207,2286.0,6,4.92,0,1,1,0,0,2.5,1.0,0.3514909324076251
2209,1790.0,4,4.67,0,1,0,0,0,1.0,1.0,5.238365117589529
2212,2786.0,2,4.7,1,1,1,1,0,1.0,1.0,2.513867119130752
2216,1765.0,4,5.0,0,1,1,0,0,1.0,0.8,3.7142146329223005
2219,819.0,2,4.7,1,1,1,0,0,1.0,1.0,16.403166745910518
2221,2785.0,8,4.83,0,1,1,1,0,1.0,1.0,0.5461301346119581
2223,3015.0,2,4.96,1,1,1,0,0,1.0,1.0,1.3074024290713162
2226,4637.0,5,4.95,1,1,1,0,0,2.0,1.0,1.6063283155871904
2227,1000.0,2,4.6,0,1,1,1,0,1.0,1.0,2.8548934511239628
2229,2921.0,6,4.76,1,1,1,0,0,2.0,1.0,2.4020627935049226
2231,1480.0,2,4.97,0,1,1,0,0,1.0,0.0,1.690808124772234
2232,1496.0,4,4.91,0,1,1,1,0,1.0,1.0,1.9589941130625663
2233,1352.0,2,4.91,0,1,1,0,1,1.0,1.0,1.8551506971725247
2236,1349.0,6,4.84,1,1,1,1,0,1.0,1.0,2.8596198560060198
2237,1135.0,4,4.9,1,1,1,1,0,1.0,1.0,2.78509882688663
2239,1888.0,2,4.9,0,1,0,0,0,1.0,1.0,0.9027669650253536
2240,1950.0,2,4.8,0,1,1,1,0,1.0,1.0,0.7989096965194487
2241,3573.0,4,4.98,1,1,1,1,0,1.5,1.0,1.9918612114035092
2244,4533.0,5,4.91,1,1,1,1,0,2.5,1.0,0.2454779445580331
2245,2217.0,2,4.93,1,1,1,0,0,1.0,1.0,2.3806723990047716
2247,1960.0,3,4.82,1,1,1,0,0,1.5,1.0,3.0720271738799823
2248,2266.0,5,4.89,0,1,1,0,0,1.5,1.0,2.738294320678742
2249,1143.0,3,4.56,0,1,0,0,0,1.0,1.0,1.3989194989964528
2251,1320.0,2,4.96,1,1,1,0,0,1.0,1.0,1.5493931264727707
2257,5720.0,2,4.92,0,1,1,1,0,1.5,1.0,1.3315624121478837
2258,1836.0,4,4.6,0,1,0,0,0,1.0,1.0,6.09841917430404
2259,1400.0,2,4.52,0,1,1,0,0,1.0,1.0,7.236595834884377
2260,2000.0,4,4.73,1,1,1,0,0,1.0,1.0,0.6880162398388617
2261,2495.0,4,4.89,1,1,1,0,0,1.0,1.0,1.495144781468002
2266,3780.0,6,4.94,0,1,1,1,0,1.0,0.97,1.1187450563481207
2269,2473.0,3,4.67,1,1,1,1,0,1.0,1.0,1.7174215421739478
2270,623.0,2,4.57,1,1,1,0,1,2.5,0.98,4.054750468947973
2271,1086.0,6,4.92,1,1,1,1,0,1.0,1.0,2.529810144320005
2272,3447.0,5,4.99,1,1,0,1,0,1.0,1.0,2.1174853456561933
2273,6286.0,8,4.97,0,1,1,0,0,1.5,1.0,1.3473199692125761
2276,2182.0,2,4.91,1,1,1,0,0,1.0,1.0,9.943092498571275
2277,2427.0,4,4.79,1,1,1,0,0,1.0,1.0,10.110443871107984
2278,4389.0,5,4.59,1,1,1,0,0,2.0,1.0,10.106540292382673
2279,2386.0,4,4.86,1,1,1,1,0,1.0,1.0,1.9113630175129475
2280,2452.0,4,4.86,0,1,1,1,0,1.0,1.0,0.46345018780514824
2281,1009.0,2,4.49,1,1,1,1,0,1.0,1.0,5.9043705131248
2283,1228.0,2,4.57,1,1,1,1,0,1.0,1.0,5.9043705131248
2284,1236.0,3,4.59,1,1,1,1,0,1.0,1.0,5.9043705131248
2285,1135.0,2,4.63,1,1,1,1,0,1.0,1.0,5.9043705131248
2286,2004.0,3,4.92,0,1,1,0,0,1.5,1.0,1.3097092077639956
2287,3303.0,6,4.91,0,1,1,0,0,1.5,1.0,1.4232946553678456
2289,2000.0,2,4.68,0,1,1,0,0,1.5,1.0,1.567978163089407
2290,2214.0,4,4.87,0,1,1,0,0,1.0,1.0,1.8602783859811454
2292,3257.0,4,4.98,1,1,1,0,0,1.0,1.0,2.0977286774586235
2293,609.0,1,4.61,1,1,1,0,1,2.5,0.98,3.9506832647973025
2294,1737.0,4,5.0,0,1,1,1,0,1.0,1.0,3.040712601190778
2295,1046.0,5,4.71,0,1,1,1,0,1.0,1.0,0.47369488726173603
2296,3341.0,2,4.98,1,1,1,0,0,1.0,1.0,2.097168932695169
2297,1708.0,2,4.81,0,1,1,1,0,1.0,1.0,0.8507529727765811
2298,1373.0,2,4.89,0,1,1,1,0,1.0,1.0,0.9221970118347429
2299,1769.0,3,4.85,0,1,1,1,0,1.0,1.0,0.6820282169055382
2300,2214.0,3,4.79,0,1,1,1,0,1.0,1.0,1.8266905420808939
2301,1937.0,2,4.85,1,1,1,1,0,1.0,1.0,1.7059366321466287
2302,2844.0,4,4.86,0,1,1,1,0,1.0,1.0,3.598661572360887
2303,2704.0,2,4.99,1,1,1,0,0,1.0,1.0,2.223111925157759
2304,3596.0,5,4.98,1,1,0,1,0,1.0,1.0,2.113077333681743
2305,1874.0,4,4.84,0,1,1,0,0,1.0,1.0,0.6279098994596526
2306,2100.0,6,4.8,1,1,1,0,0,1.5,1.0,6.353500345623116
2307,3001.0,4,4.98,0,1,1,1,0,1.5,1.0,2.1161541354170286
2308,2131.0,2,4.84,0,1,1,1,0,1.0,1.0,1.0257376460018228
2309,3752.0,4,5.0,1,1,1,1,0,1.0,1.0,1.9053226624073263
2310,3065.0,9,4.97,0,1,1,1,0,1.0,1.0,6.096182217527857
2311,723.0,6,4.95,0,1,1,1,0,1.0,1.0,1.6558186761734024
2312,1536.0,2,4.9,1,1,1,0,1,1.0,1.0,1.538083684616306
2313,3254.0,5,4.99,1,1,0,1,0,1.0,1.0,2.0632184756502623
2314,1800.0,3,4.7,0,1,1,0,0,1.0,1.0,9.696348226629215
2315,2942.0,2,4.7,0,1,1,1,0,1.0,1.0,3.2178453496507458
2316,1899.0,3,4.78,1,1,1,0,0,1.0,1.0,3.348126648866123
2317,4100.0,6,4.87,0,1,1,1,0,1.0,1.0,2.1486268315808545
2319,3857.0,4,4.9,1,1,1,0,0,1.5,1.0,0.7781715396332566
2320,1278.0,2,4.65,1,1,1,1,0,1.0,1.0,1.8761504472158814
2321,4063.0,4,4.81,0,1,1,1,0,1.5,1.0,1.80541307600288
2322,1997.0,4,4.89,0,1,1,1,0,1.5,1.0,1.7680590140412282
2324,1422.0,2,5.0,0,1,1,0,1,1.5,1.0,0.6640407371388253
2326,5160.0,4,4.99,0,1,1,0,0,2.0,1.0,2.128296666782096
2327,1771.0,6,4.79,0,1,0,1,0,1.0,1.0,1.7496610492668327
2328,2007.0,4,4.78,1,1,1,1,0,1.0,1.0,1.5698118625729525
2333,4528.0,6,4.84,0,1,1,1,0,2.5,1.0,1.0406885666745342
2334,2589.0,4,4.81,1,1,1,1,0,1.0,1.0,6.722561602013656
2335,3464.0,5,5.0,1,1,0,1,0,1.0,1.0,1.9292192628298768
2336,2080.0,3,4.89,1,1,1,0,0,1.5,1.0,2.42407930825724
2337,2270.0,3,4.77,1,1,1,1,0,1.0,1.0,0.8995094274427656
2338,3100.0,3,5.0,1,1,1,0,0,1.0,1.0,2.5697227646810687
2340,590.0,2,4.86,0,1,1,0,0,1.0,0.5,5.360234930805866
2343,1888.0,4,4.97,0,1,1,1,0,1.0,1.0,1.8439277174564457
2344,2147.0,4,4.87,0,1,1,1,0,1.0,1.0,1.8171490286971812
2345,2746.0,2,4.81,1,1,1,0,0,1.0,1.0,2.5697227646810687
2347,1089.0,3,4.86,1,1,1,1,0,1.0,0.93,2.8584658617560983
2349,3370.0,4,4.97,1,1,1,0,0,1.5,1.0,1.5958437865875916
2350,550.0,1,4.77,0,1,1,0,1,1.0,1.0,4.751238129648345
2352,800.0,2,4.48,0,1,0,0,0,1.0,1.0,4.158084660713074
2353,1021.0,3,4.61,0,1,1,0,0,1.0,0.89,3.3278742724395856
2354,2014.0,6,4.69,0,1,1,1,0,1.5,1.0,0.5272944019439954
2355,2487.0,6,4.93,0,1,1,1,0,2.0,1.0,2.7701382238091043
2356,3839.0,4,4.98,1,1,1,0,0,1.5,1.0,1.80112531402167
2358,1200.0,2,4.88,0,1,1,0,1,1.0,1.0,2.8977049476270005
2359,3714.0,3,4.95,1,1,1,1,1,1.0,1.0,2.662869151119015
2360,1748.0,2,4.63,1,1,1,0,0,1.0,1.0,1.1165112522971492
2364,2035.0,2,4.84,1,1,1,1,0,1.0,1.0,1.4793366125698724
2365,3154.0,4,4.94,1,1,1,1,0,1.0,1.0,1.4793366125698724
2366,2303.0,2,4.86,1,1,1,1,0,1.0,1.0,1.4793366125698724
2367,999.0,3,4.63,1,1,1,0,0,1.0,1.0,7.988641218056208
2369,1201.0,2,4.71,0,1,1,0,0,1.5,1.0,2.316631878512904
2370,2500.0,7,4.5,0,1,1,0,0,1.0,1.0,9.837298803910375
2371,3929.0,2,4.57,0,1,1,0,0,1.0,1.0,9.826549808724
2372,2464.0,4,4.83,1,1,1,1,0,1.0,1.0,2.200613975752266
2373,1765.0,2,4.74,0,1,1,1,0,1.0,0.97,1.990380427021523
2375,4637.0,7,4.96,1,1,1,1,0,1.0,1.0,1.5259450297973287
2376,1787.0,3,4.8,0,1,1,1,0,1.0,0.97,2.0227958028688446
2377,2321.0,2,4.98,1,1,1,0,0,1.0,1.0,1.9597083073740977
2378,943.0,2,4.89,0,1,1,1,0,1.0,1.0,0.9805540231412704
2382,2186.0,4,4.81,0,1,1,0,0,1.0,1.0,2.1291967442184503
2385,2942.0,6,4.5,0,1,1,1,0,1.0,1.0,1.1124321069329335
2391,2729.0,4,4.73,1,1,1,1,0,1.5,1.0,1.54497401558015
2393,699.0,1,4.64,0,1,1,0,1,1.5,1.0,4.307436502626119
2394,3393.0,5,4.98,1,1,0,1,0,1.0,1.0,2.0083768781130624
2395,2339.0,5,4.89,1,1,1,1,0,1.5,1.0,0.8629661549401559
2396,3656.0,4,4.96,1,1,1,1,0,1.0,1.0,3.004856029136137
2397,1199.0,3,4.77,1,1,1,0,0,1.5,1.0,1.4773920029275942
2399,5170.0,6,4.71,0,1,1,1,0,3.0,1.0,0.20901140091523734
2400,3496.0,4,4.82,1,1,1,1,0,1.0,1.0,0.1457338716105836
2402,2561.0,6,4.93,0,1,1,1,0,1.5,0.98,2.8495084210182164
2403,1846.0,4,4.67,0,1,1,0,0,1.0,0.98,1.8849164585853115
2404,3471.0,7,5.0,1,1,1,0,0,1.0,1.0,2.095545132988748
2406,3589.0,6,4.78,0,1,1,0,0,1.5,1.0,0.8113903453506273
2407,2252.0,2,4.91,1,1,1,1,0,1.0,1.0,0.9684727765974951
2408,1500.0,2,4.62,1,1,1,0,0,1.0,0.95,9.754621642506585
2410,3814.0,8,4.84,1,1,1,1,0,1.5,1.0,1.0236055747597381
2411,2400.0,6,4.88,1,1,1,0,0,1.5,1.0,1.0236055747597381
2412,3839.0,6,4.9,1,1,1,0,0,1.5,1.0,2.005046469875942
2413,1600.0,5,4.58,0,1,1,1,0,1.0,1.0,4.41030592942688
2414,4781.0,4,4.86,0,1,0,0,0,1.0,1.0,1.9656444656261232
2415,1492.0,4,4.9,0,1,1,1,0,1.0,1.0,1.473223991743579
2416,1499.0,4,4.9,0,1,1,1,0,1.0,1.0,1.479711573208019
2417,3200.0,2,4.76,0,1,1,1,0,1.0,1.0,1.0228876928834383
2420,2732.0,4,4.83,0,1,1,1,0,1.0,1.0,1.5663408080444958
2421,3277.0,5,5.0,1,1,0,1,0,1.0,1.0,2.094938262488851
2422,1650.0,3,4.85,1,1,1,0,0,1.0,1.0,2.9313631424233257
2424,1839.0,2,4.89,1,1,1,0,0,1.0,1.0,3.8693331947438563
2425,5032.0,4,4.99,1,1,1,0,0,2.0,1.0,1.6612333363820482
2426,1300.0,4,4.55,0,1,1,1,0,1.0,1.0,2.6915972740863534
2428,2800.0,5,4.97,0,1,1,0,0,1.5,1.0,0.9773151180554006
2429,2243.0,2,4.85,0,1,1,0,0,1.5,1.0,2.983273088817555
2430,2942.0,4,4.84,0,1,1,1,0,1.0,1.0,1.5754569752870753
2432,4098.0,5,4.87,0,1,1,1,0,1.0,1.0,1.564429562254236
2433,4781.0,3,4.86,0,1,0,0,0,1.0,1.0,1.8490486770835763
2434,4781.0,4,4.86,0,1,0,0,0,1.0,1.0,1.9110833581114632
2435,4781.0,3,4.86,0,1,0,0,0,1.0,1.0,1.6629277515632752
2437,3610.0,5,5.0,1,1,0,1,0,1.5,1.0,2.038055365347946
2438,1243.0,2,4.85,0,1,1,1,0,1.0,1.0,1.6707093093601946
2439,2578.0,4,4.84,0,1,1,1,0,1.0,0.98,1.5585052098847803
2440,6095.0,6,4.98,0,1,1,1,0,1.5,1.0,1.6014606673517686
2442,1790.0,3,5.0,0,1,0,0,0,1.0,1.0,1.9223243220837294
2444,2697.0,5,4.86,0,1,1,1,0,1.0,1.0,1.3978283549371606
2445,2382.0,5,4.82,1,1,1,1,0,1.0,1.0,7.264199320539265
2446,2364.0,5,4.85,1,1,1,1,0,1.0,1.0,7.258461264641398
2447,981.0,2,4.58,0,1,1,0,0,1.0,1.0,5.654033560123232
2448,1364.0,1,4.74,1,1,1,1,0,1.0,1.0,2.5086435796838686
2450,2673.0,2,4.91,1,1,1,1,0,1.0,1.0,0.884244865998068
2451,1574.0,4,4.58,0,1,1,1,0,2.5,1.0,1.3637638415376023
2453,1253.0,3,4.53,0,1,1,1,1,1.5,1.0,1.3637638415376023
2454,1201.0,2,4.61,0,1,1,1,1,1.5,1.0,1.3637638415376023
2456,2186.0,4,5.0,0,1,0,0,0,1.0,1.0,2.0866603098276997
2457,1434.0,3,4.84,1,1,1,1,0,1.0,1.0,3.006190703793934
2458,1000.0,2,4.89,1,1,1,0,0,1.0,1.0,1.679767946979932
2459,1086.0,2,4.61,1,1,1,0,0,1.0,0.95,9.90676640242176
2460,2802.0,4,5.0,0,1,1,0,0,1.0,1.0,2.856885697810414
2461,3027.0,4,4.81,0,1,1,1,0,1.0,1.0,1.1666294800030952
2462,3559.0,4,4.98,1,1,1,0,0,1.0,1.0,2.0196238436751868
2463,1629.0,2,4.93,1,1,0,1,0,1.5,1.0,1.4648446323560798
2465,1964.0,2,4.98,1,1,1,1,0,1.0,1.0,0.9378128343927347
2466,3288.0,2,4.95,1,1,1,0,0,1.0,1.0,2.278902330366312
2467,999.0,4,4.76,0,1,0,0,0,1.0,1.0,10.511605121634009
2468,4100.0,8,4.76,1,1,1,0,0,1.5,1.0,1.6553364624612823
2469,2500.0,4,4.73,0,1,0,0,0,1.0,1.0,2.9659264994338144
2471,1500.0,4,4.69,0,1,1,1,0,1.5,0.9,5.726795538099829
2473,3727.0,4,4.96,1,1,1,1,0,1.0,1.0,1.5302861504663023
2474,3408.0,4,5.0,0,1,1,1,0,2.0,1.0,4.5006905121944
2476,3064.0,4,4.91,0,1,1,1,0,1.0,1.0,1.1403605063964262
2477,2522.0,4,4.86,0,1,1,1,0,1.0,1.0,1.5154985866167416
2479,1195.0,3,4.84,0,1,1,1,0,1.0,1.0,1.0222137600651346
2480,1195.0,3,4.84,0,1,1,1,0,1.0,1.0,1.164980358040826
2481,4386.0,4,4.77,0,1,1,0,0,1.0,1.0,4.859879152809178
2483,1429.0,2,4.75,0,1,1,1,0,1.0,1.0,0.8098379154729073
2485,1053.0,1,4.62,1,1,1,1,0,1.0,1.0,5.906470299745917
2488,1643.0,2,4.93,0,1,1,0,0,1.5,1.0,1.1457369499192942
2490,985.0,1,4.52,1,1,1,1,0,1.0,1.0,5.906470299745917
2491,979.0,1,4.59,1,1,1,1,0,1.0,1.0,5.906470299745917
2492,1461.0,4,4.89,0,1,1,1,0,1.0,1.0,1.4148972615664865
2493,1524.0,4,4.89,0,1,1,1,0,1.0,1.0,1.473223991743579
2494,1705.0,2,4.75,0,1,1,1,0,1.0,1.0,1.6716275667110896
2495,2322.0,4,4.93,1,1,1,0,0,1.5,1.0,2.4019580002168635
2496,4010.0,4,4.93,0,1,1,1,0,1.0,0.94,2.7094127509272554
2497,2942.0,7,4.92,0,1,1,1,0,1.0,1.0,1.5253665305456232
2499,3500.0,2,4.82,1,1,1,0,0,1.5,1.0,2.575477967192509
2500,5898.0,6,4.79,0,1,1,1,0,2.5,0.94,2.706778171801301
2502,2119.0,4,4.6,1,1,1,1,0,1.5,1.0,2.939229142520892
2503,3678.0,4,4.96,0,1,1,0,0,1.0,1.0,2.3348281659683456
2504,1646.0,2,5.0,1,1,1,0,0,1.0,1.0,1.1939524814488456
2505,3090.0,2,4.91,1,1,1,1,0,1.5,1.0,1.6793449946415897
2506,2100.0,3,4.8,1,1,1,1,0,1.5,1.0,2.0276592475083137
2507,2032.0,2,4.85,0,1,1,1,0,1.5,1.0,1.4154155965386128
2508,3090.0,2,4.89,1,1,1,1,1,1.5,1.0,1.6854060518727099
2509,2382.0,3,4.93,0,1,1,1,0,1.0,1.0,1.425531953568861
2510,4300.0,4,4.99,1,1,1,0,0,2.5,1.0,2.419105214188481
2511,1267.0,4,4.79,1,1,1,0,0,1.0,1.0,6.247050378523441
2512,2300.0,2,4.95,1,1,1,1,0,1.5,1.0,1.8152240463983231
2513,4182.0,6,4.87,1,1,1,1,0,1.0,1.0,1.27010846720232
2516,1890.0,4,4.69,0,1,1,1,0,1.0,1.0,5.71466797237051
2517,2500.0,5,4.86,0,1,0,0,0,1.0,1.0,5.275789192013658
2519,3800.0,4,4.83,0,1,0,0,0,1.0,1.0,3.2064365324679955
2520,2856.0,3,4.93,0,1,1,1,0,1.5,0.94,2.706778171801301
2523,2856.0,4,4.75,0,1,1,1,0,1.0,0.94,2.709283923209943
2526,1629.0,4,4.88,1,1,1,0,0,1.0,1.0,0.5421157283410161
2528,2513.0,3,4.97,0,1,1,0,0,1.0,1.0,2.6543584131421105
2535,1743.0,2,4.87,1,1,1,0,0,1.5,1.0,0.9969702085030819
2536,750.0,2,4.86,0,1,1,0,0,1.0,1.0,8.621758641570548
2537,2441.0,2,4.91,1,1,1,1,0,1.0,1.0,2.6969928321963272
2538,794.0,2,4.71,1,1,1,1,1,1.0,1.0,2.364752397627897
2539,3520.0,5,4.93,0,1,1,1,0,1.5,1.0,1.7150598268569888
2540,1447.0,4,5.0,0,1,0,0,0,1.0,1.0,12.690595579406308
2542,3184.0,4,4.93,1,1,1,1,0,1.0,1.0,2.3794327313992287
2543,3503.0,2,5.0,1,1,1,1,0,1.0,1.0,3.04067208016832
2545,3492.0,8,4.99,1,1,1,1,0,2.0,1.0,2.0680372049514584
2547,1962.0,4,4.79,0,1,1,1,0,1.5,1.0,0.4688399131915168
2548,2014.0,2,4.92,1,1,1,0,0,1.5,1.0,3.610779098255863
2549,4196.0,2,5.0,1,1,1,0,0,1.0,1.0,1.8789594987120617
2550,1369.0,6,4.8,1,1,1,1,0,1.5,1.0,1.421778296224736
2553,3857.0,2,4.86,1,1,1,1,0,1.0,1.0,2.3971827502971936
2554,1086.0,4,4.97,1,1,1,1,0,1.5,1.0,2.366890554000647
2555,1941.0,4,4.8,0,1,1,0,0,2.0,1.0,0.7188533125889488
2557,2000.0,2,4.95,1,1,1,1,0,1.0,1.0,1.796868650449833
2558,2600.0,3,4.9,0,1,1,0,0,1.0,1.0,7.139796656526224
2559,2067.0,2,4.9,0,1,1,1,0,1.0,1.0,1.4385399883290613
2560,1893.0,5,4.63,0,1,1,0,0,1.5,1.0,3.0135283039855323
2561,2457.0,4,4.5,0,1,1,1,0,1.0,1.0,4.590140056104082
2562,4314.0,8,4.56,0,1,1,1,0,1.0,1.0,4.462346830517223
2564,1700.0,3,4.8,0,1,1,1,0,1.0,1.0,2.8507788915873267
2565,671.0,2,4.6,0,1,1,1,0,1.5,1.0,1.446745683627243
2566,4100.0,4,4.99,1,1,1,0,0,1.0,1.0,2.1048973501123474
2567,1650.0,4,4.87,0,1,1,1,0,1.0,0.9,1.673102602650748
